category;article;title;price;discount_price;discount_sign;in_stock;description;brand;url_image
Очки виртуальной реальности;1081178;Очки виртуальной реальности Homido Mini;867;737;1;2;"Вес (г): 22; Угол обзора (°): 85; Макс. диагональ телефона (""): 5.5; Источник сигнала: телефон";Homido;http://magazilla.ru/jpg_zoom1/1081178.jpg http://mzimg.com/big/d1/fe2stk9gyd1.jpg http://mzimg.com/big/31/fe2stklgz31.jpg http://mzimg.com/big/r1/fe2stkr59r1.jpg http://mzimg.com/big/y1/fe2stkwf6y1.jpg http://mzimg.com/big/u1/fe2stl27du1.jpg http://mzimg.com/big/91/fe2stl90i91.jpg
Очки виртуальной реальности;1152722;Очки виртуальной реальности Xiaomi Mi VR Play 2;1859;1859;0;2;"Вес (г): 183; Крепление на голову; Магнитная кнопка; Макс. диагональ телефона (""): 5.7; Источник сигнала: телефон";Xiaomi;http://magazilla.ru/jpg_zoom1/1152722.jpg http://mzimg.com/big/v1/fh89os14qv1.jpg http://mzimg.com/big/s1/fh89osbx4s1.jpg http://mzimg.com/big/y1/fh89osin4y1.jpg http://mzimg.com/big/m1/fh89osmwlm1.jpg http://mzimg.com/big/31/fh89osqt431.jpg http://mzimg.com/big/z1/fh89plc7ez1.jpg
Очки виртуальной реальности;1161929;Очки виртуальной реальности Remax RT-V02;591;443;1;10;"Вес (г): 155; Крепление на голову; Настройка межзрачкового расстояния; Настройка расстояния линз; Макс. диагональ телефона (""): 6; Источник сигнала: телефон";Remax;http://magazilla.ru/jpg_zoom1/1161929.jpg http://mzimg.com/big/h1/fhod45yi8h1.jpg http://mzimg.com/big/i1/fhod46cswi1.jpg http://mzimg.com/big/t1/fhod46hzit1.jpg http://mzimg.com/big/71/fhod46n2971.jpg
Подставки и крепления;1014037;Подставка/крепление Always Star PL3301;21450;18233;1;14;"Размеры (мм): 1200x1230x440; Материал полок: стекло; Материал тумбы: металл; 600x400 мм; 500x400 мм; 400x400 мм; 400x300 мм; 400x200 мм; 300x400 мм; 300x300 мм; 300x200 мм; 200x400 мм; 200х300 мм; Наличие креплений VESA: 200x200 мм; регулировка высоты; Регулировки: поворот; Макс. нагрузка (кг): 120";Always Star;http://magazilla.ru/jpg_zoom1/1014037.jpg
Подставки и крепления;1014056;Подставка/крепление Always Star PL3302;31460;31460;0;6;"Размеры (мм): 1200x1230x440; Материал полок: стекло; Материал тумбы: металл; 600x400 мм; 500x400 мм; 400x400 мм; 400x300 мм; 400x200 мм; 300x400 мм; 300x300 мм; 300x200 мм; 200x400 мм; 200х300 мм; Наличие креплений VESA: 200x200 мм; регулировка высоты; Регулировки: поворот; Макс. нагрузка (кг): 140";Always Star;http://magazilla.ru/jpg_zoom1/1014056.jpg
Подставки и крепления;1014083;Подставка/крепление Always Star PL3400;22880;17160;1;3;"Размеры (мм): 1200x1230x440; Материал полок: стекло; Материал тумбы: металл; 600x400 мм; 500x400 мм; 400x400 мм; 400x300 мм; 400x200 мм; 300x400 мм; 300x300 мм; 300x200 мм; 200x400 мм; 200х300 мм; Наличие креплений VESA: 200x200 мм; регулировка высоты; Регулировки: поворот; Макс. нагрузка (кг): 120";Always Star;http://magazilla.ru/jpg_zoom1/1014083.jpg http://www.pult.ru/upload/iblock/51a/51adf8bc5dbeec0f98abf0a0e21d74d5.jpg http://www.pult.ru/upload/iblock/558/558db41484904f5d8ab76c1906d17cb4.jpg http://www.pult.ru/upload/iblock/1d4/1d41f4dff8a158d388efd8510e602b5a.jpg
Подставки и крепления;1014133;Подставка/крепление Always Star PL3500;22880;19448;1;13;"Размеры (мм): 1200x570x440; Материал полок: стекло; Регулировки: Наличие креплений VESA: Материал тумбы: металл; Макс. нагрузка (кг): 65; Макс. диагональ (""): 50; Исполнение тумбы: классическая; Тип: тумба";Always Star;http://magazilla.ru/jpg/1014133.jpg http://www.pult.ru/upload/iblock/2de/2de8a0c0c12dd22554c3e300d8627163.jpg http://www.pult.ru/upload/iblock/886/88693021d710ac2ed0473fd5cfe7c3e4.jpg
Подставки и крепления;1014184;Подставка/крепление Always Star PL3100;18590;18590;0;13;"Размеры (мм): 1200x1010x440; Материал полок: стекло; Материал тумбы: металл; 600x400 мм; 500x400 мм; 400x400 мм; 400x300 мм; 400x200 мм; 300x400 мм; 300x300 мм; 300x200 мм; 200x400 мм; 200х300 мм; Наличие креплений VESA: 200x200 мм; регулировка высоты; Регулировки: поворот; Макс. нагрузка (кг): 100";Always Star;http://magazilla.ru/jpg/1014184.jpg http://www.pult.ru/upload/iblock/f64/f6458238127f604a63279bf305aee489.jpg http://www.pult.ru/upload/iblock/723/723e4d625ef5bd1478c21a94e797316f.jpg http://www.pult.ru/upload/iblock/8ec/8ec4774521db45994edc33b18f11b8e0.jpg
Подставки и крепления;1014196;Подставка/крепление Always Star PL3200;20020;15015;1;9;"Размеры (мм): 1200x1230x440; Материал полок: стекло; Материал тумбы: металл; 600x400 мм; 500x400 мм; 400x400 мм; 400x300 мм; 400x200 мм; 300x400 мм; 300x300 мм; 300x200 мм; 200x400 мм; 200х300 мм; Наличие креплений VESA: 200x200 мм; регулировка высоты; Регулировки: поворот; Макс. нагрузка (кг): 120";Always Star;http://magazilla.ru/jpg_zoom1/1014196.jpg http://www.pult.ru/upload/iblock/f58/f58687153570528e923767a6076b4e3d.jpg http://www.pult.ru/upload/iblock/77b/77be4bc1abc2aa696d6d5a16eedc21a6.jpg
Подставки и крепления;1014216;Подставка/крепление Always Star PL3303;31460;26741;1;15;"Размеры (мм): 1200x1230x440; Материал полок: стекло; Материал тумбы: металл; 600x400 мм; 500x400 мм; 400x400 мм; 400x300 мм; 400x200 мм; 300x400 мм; 300x300 мм; 300x200 мм; 200x400 мм; 200х300 мм; Наличие креплений VESA: 200x200 мм; регулировка высоты; Регулировки: поворот; Макс. нагрузка (кг): 140";Always Star;http://magazilla.ru/jpg/1014216.jpg
